country,R,G,B
AR,0.22998537,0.6864865,0.05
BO,0.95,0.6375848,0.27434322
CA,0.5235275,0.31032085,0.6996627
CL,0.95,0.26344135,0.3928891
CO,0.36153942,0.8695885,0.79876155
CR,0.1693298,0.31623134,0.20176491
DO,0.95,0.54576784,0.7481715
EC,0.6769275,0.6716834,0.91530335
ES,0.5074481,0.26096562,0.057089653
FR,0.7724047,0.05,0.64355963
GB,0.47371784,0.05,0.45069864
GT,0.47028798,0.6222428,0.4095925
HN,0.518065,0.95,0.40782994
MX,0.23024672,0.4031599,0.95
NI,0.05,0.58984977,0.29481173
PA,0.6211658,0.65840816,0.05
PE,0.6987797,0.28036216,0.95
PY,0.19379619,0.5209775,0.6070791
SV,0.750285,0.37599126,0.37454912
US,0.16501924,0.14781298,0.59772325
UY,0.15920782,0.86961377,0.3660408
VE,0.806667,0.8139372,0.5211868
