country,R,G,B
AR,0.07854281,0.7423128,0.05
BO,0.95,0.93281543,0.83256066
CA,0.68117213,0.16083258,0.72253084
CL,0.93905205,0.95,0.8638696
CO,0.6444685,0.8310205,0.8525396
CR,0.13150488,0.7232406,0.29496273
DO,0.93744767,0.8632191,0.95
EC,0.8624743,0.95,0.95
ES,0.7071315,0.05,0.65752304
FR,0.6169729,0.058365166,0.7171559
GB,0.6931097,0.08279323,0.5597011
GT,0.39536214,0.8191334,0.75296474
HN,0.36758038,0.71519655,0.6466676
MX,0.26373467,0.7453275,0.8144612
NI,0.06329449,0.80988795,0.19067104
PA,0.7697617,0.7478954,0.8379872
PE,0.7817663,0.93000954,0.6824631
PY,0.22320384,0.75215125,0.5937134
SV,0.9285799,0.8531075,0.6995697
US,0.53592324,0.23609065,0.6065564
UY,0.05,0.7189649,0.14924404
VE,0.80224794,0.86080325,0.90269774
