country,R,G,B
AR,0.059993327,0.6335053,0.23496394
BO,0.95,0.8085993,0.40436023
CA,0.8837086,0.3522327,0.9253666
CL,0.95,0.4424325,0.524017
CO,0.3411072,0.95,0.17222555
CR,0.23323411,0.4067142,0.32392514
DO,0.7705125,0.95,0.6396583
EC,0.7902687,0.6269229,0.09595345
ES,0.5275285,0.24334385,0.95
FR,0.81931883,0.055461623,0.58320576
GB,0.5630093,0.05,0.6986298
GT,0.40656245,0.8573133,0.6047833
HN,0.38816443,0.56210285,0.05
MX,0.2202525,0.18425581,0.82682097
NI,0.05,0.32448977,0.4901988
PA,0.6397648,0.2637326,0.21597011
PE,0.6248429,0.69673145,0.95
PY,0.24556747,0.62065685,0.8874945
SV,0.7502643,0.5601916,0.6130408
US,0.30291733,0.05,0.3825016
UY,0.0843252,0.6864232,0.6018524
VE,0.68856484,0.95,0.26204383
