country,R,G,B
AR,0.091968045,0.81493187,0.05
BO,0.9459294,0.7768867,0.82197315
CA,0.8599857,0.26422045,0.5908634
CL,0.95,0.38908663,0.82871747
CO,0.5909943,0.86667055,0.79392415
CR,0.37063685,0.6083505,0.6266925
DO,0.797263,0.87879896,0.86506695
EC,0.8713259,0.64458996,0.95
ES,0.8104603,0.07700313,0.8423921
FR,0.92923635,0.055279788,0.71219534
GB,0.76160294,0.05,0.6640789
GT,0.54471064,0.3620925,0.8969939
HN,0.537915,0.5579259,0.676601
MX,0.42293516,0.62242347,0.84554285
NI,0.12778659,0.81238884,0.21917091
PA,0.71063167,0.44275135,0.88165337
PE,0.73042023,0.54277134,0.6268184
PY,0.42999753,0.25654393,0.68018085
SV,0.88305,0.45811465,0.80934757
US,0.5856615,0.06056051,0.6871469
UY,0.05,0.95,0.08632721
VE,0.8472173,0.77637875,0.67145723
