country,R,G,B
ALL,0.9,0.5245261,0.70831
AR,0.8262579,0.7001758,0.9
BO,0.1,0.1409503,0.7097325
CA,0.1,0.2174513,0.19224836
CL,0.9,0.76735693,0.37171477
CO,0.8583307,0.5068967,0.52823114
CR,0.19435358,0.6884689,0.6413147
DO,0.30862963,0.4319243,0.6150549
EC,0.56612664,0.81345046,0.6028578
ES,0.9,0.48137,0.9
FR,0.1,0.1,0.30525455
GB,0.12657236,0.18257579,0.1
GT,0.24743102,0.5764123,0.23700358
HN,0.18579878,0.17764184,0.41301095
MX,0.9,0.80143344,0.9
NI,0.1,0.44646895,0.38451734
PA,0.34772503,0.66685605,0.7601706
PE,0.77122325,0.9,0.24820574
PY,0.4200067,0.75161403,0.3915442
SV,0.17913812,0.3767539,0.83108896
US,0.74898446,0.78370386,0.635409
UY,0.7621072,0.652697,0.18749581
VE,0.85025346,0.9,0.7227986
