country,R,G,B
ALL,0.9,0.30555454,0.1
AR,0.8660435,0.29964566,0.7095131
BO,0.1,0.30567253,0.81796116
CA,0.1,0.47932363,0.37340948
CL,0.6852843,0.1,0.1
CO,0.9,0.41347313,0.41028047
CR,0.25571278,0.51090926,0.1745294
DO,0.3902858,0.37166643,0.8662431
EC,0.63725364,0.1,0.6080943
ES,0.8686832,0.1,0.35908076
FR,0.1632722,0.6479147,0.9
GB,0.1,0.7799404,0.6661415
GT,0.19602746,0.9,0.34537217
HN,0.23592205,0.5907495,0.62367505
MX,0.8121408,0.6483876,0.1
NI,0.23473683,0.9,0.7711705
PA,0.4486466,0.8275285,0.51996666
PE,0.67198634,0.6351975,0.7199585
PY,0.44155827,0.18919407,0.35665447
SV,0.18518116,0.1803859,0.5109339
US,0.7079954,0.40668705,0.3819523
UY,0.56700236,0.58758664,0.1
VE,0.82704526,0.7866506,0.39315218
