country,R,G,B
ALL,0.9,0.30298758,0.23381831
AR,0.9,0.7012449,0.3483974
BO,0.1,0.5746027,0.83256227
CA,0.10747619,0.20507775,0.80521905
CL,0.9,0.8360153,0.12692277
CO,0.8528153,0.3700696,0.337808
CR,0.3065501,0.9,0.5928894
DO,0.42432186,0.8565432,0.7553754
EC,0.55211055,0.67566013,0.38556677
ES,0.9,0.1,0.15309179
FR,0.10325575,0.53068006,0.9
GB,0.1,0.63254625,0.62815106
GT,0.24943411,0.9,0.874096
HN,0.1070986,0.9,0.82650423
MX,0.9,0.3563059,0.1
NI,0.20144115,0.48997813,0.6419914
PA,0.39891708,0.46956304,0.5774339
PE,0.6915216,0.67568016,0.40226012
PY,0.4944985,0.9,0.54980004
SV,0.25264,0.37133247,0.87214506
US,0.7607861,0.28657973,0.15756121
UY,0.7705841,0.8930167,0.2301618
VE,0.8369791,0.5437169,0.1
